case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
parquet-scalar-right,1,baseline,10,236.7523275,229.611448,251.39634,1.0,1,47687224.0,47687224,47826168.0,47833632,,,47495080.0,47495080,,,,,,,,,,,,,,,237.052479,4.218475184138446
parquet-scalar-right,1,candidate,10,8.4589535,6.565931,10.46066,27.98837084279988,1,3136224.0,3151568,3145944.0,3161288,,,787392.0,787392,,,705123.0,70441.5,7575963.5,9984.0,10000.0,10000.0,786432.0,1000000.0,99347.0,900653.0,1000000.0,1.0,8.6151855,116.0741112306868
parquet,0,baseline,10,323.937339,321.082955,329.763027,1.0,120,11504212.0,11504212,11524984.0,11524984,,,11504212.0,11504212,,,,,,,,,,,,,,,324.189786,3.0846129125116852
parquet,0,candidate,10,43.2954935,41.636314,44.951408,7.482010546894448,120,13254504.0,13703548,13272416.0,13721940,,,927920.0,927920,,,1467558.0,78041.0,41024700.0,117940.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,43.5739645,22.949483974541725
parquet,1,baseline,10,323.872595,322.902857,329.290444,1.0,120,11504212.0,11504212,11524984.0,11524984,,,11504212.0,11504212,,,,,,,,,,,,,,,324.1378555,3.085107101907139
parquet,1,candidate,10,42.085729,41.035691,45.206766,7.695544373248233,120,13254504.0,13254504,13272416.0,13272896,,,927920.0,927920,,,888000.0,66795.0,40509317.0,116958.5,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,42.32211,23.628311537397355
post-null-accepting,0,baseline,10,628.595024,625.429036,639.834947,1.0,180,413704.0,463888,430356.0,892700,,,413704.0,413704,,,,,,,,,,,,,,,628.852339,1.5901984265339593
post-null-accepting,0,candidate,10,92.1324375,91.418598,93.526267,6.822733024945747,180,1012080.0,1049728,1044848.0,1476224,,,938160.0,938160,,,991257.5,83405.5,90165606.0,234062.5,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,9102075.0,180.0,92.353204,10.827994662751495
post-null-accepting,1,baseline,10,625.9374605,625.403433,629.245934,1.0,180,413704.0,413704,430356.0,430356,,,413704.0,413704,,,,,,,,,,,,,,,626.1699945,1.5970104105651137
post-null-accepting,1,candidate,10,91.456154,90.41893,97.97445,6.844126208281184,180,1012080.0,1012080,1044848.0,1102000,,,938160.0,938160,,,778099.0,76688.0,90272561.5,189579.5,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,9102075.0,180.0,91.654324,10.910559986236983
post-reject-all,0,baseline,10,221.505615,219.621439,223.322946,1.0,0,398344.0,398344,414996.0,827156,,,398344.0,398344,,,,,,,,,,,,,,,221.722705,4.510138012252737
post-reject-all,0,candidate,10,29.8840855,29.060687,30.909502,7.412159726286421,0,943472.0,1049728,976240.0,1476224,,,922800.0,922800,,,871178.5,70481.5,28516109.5,19571.5,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,0.0,0.0,30.0588725,33.268047562329556
post-reject-all,1,baseline,10,220.162215,219.920578,221.603904,1.0,0,398344.0,398344,414996.0,414996,,,398344.0,398344,,,,,,,,,,,,,,,220.3388545,4.538464186306278
post-reject-all,1,candidate,10,29.193621,28.627087,30.089861,7.541449380328668,0,943472.0,943472,976240.0,976240,,,922800.0,922800,,,730300.0,64650.5,28254020.0,17742.5,10000.0,10000.0,786560.0,10000000.0,999862.0,9000138.0,0.0,0.0,29.4064335,34.006163991291224
primary-w1,0,baseline,10,2246.615178,2243.389845,2249.102985,1.0,120,469004.0,469004,,,487704.0,1267992,,,487692.0,487692,,,,,,,,,,,,,,
primary-w1,0,candidate,10,754.9294655,745.075139,770.777284,2.9759272629689137,120,938176.0,1049728,,,1014960.0,1851520,,,944288.0,944288,959122.0,87899.0,753431722.5,79954.5,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
primary-w1,1,baseline,10,2256.882015,2246.580683,2260.721886,1.0,120,469004.0,469004,,,487704.0,487704,,,487692.0,487692,,,,,,,,,,,,,,
primary-w1,1,candidate,10,749.54105,745.775532,762.761821,3.011018562625756,120,938176.0,938176,,,954560.0,1075360,,,944288.0,944288,854922.5,78296.0,748206694.0,75010.0,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
primary-w2,0,baseline,10,2300.8241935,2297.328711,2308.251325,1.0,120,469004.0,470028,,,487704.0,1218596,,,487692.0,487692,,,,,,,,,,,,,,
primary-w2,0,candidate,10,501.0955875,493.783971,505.608962,4.5915874154449625,120,938208.0,1049728,,,954592.0,1451520,,,944288.0,944288,1068971.5,90063.5,499758904.5,86061.0,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
primary-w2,1,baseline,10,2296.5085495,2294.353104,2302.888738,1.0,120,469004.0,469004,,,487704.0,487704,,,487692.0,487692,,,,,,,,,,,,,,
primary-w2,1,candidate,10,499.860058,492.126816,504.054024,4.594302970892706,120,938208.0,938208,,,954592.0,1075360,,,944288.0,944288,808626.0,75746.0,498635710.5,87914.5,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
primary-w4,0,baseline,10,2318.261397,2289.238376,2339.813872,1.0,120,469004.0,469004,,,487704.0,1018340,,,487692.0,487692,,,,,,,,,,,,,,
primary-w4,0,candidate,10,313.995459,303.952482,321.270176,7.383104852481322,120,968992.0,1049728,,,1001760.0,1251520,,,960672.0,960672,1200437.5,80330.5,312421271.0,208214.0,10000.0,10000.0,786560.0,100000000.0,9998251.0,0.0,9998251.0,120.0,,
