case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
hot-chain,1,candidate,10,641.3961445,634.85684,647.184786,5.682792319154641,60,203632.0,203632,203632.0,203632,,,182960.0,182960,,,419579.5,59396.0,640604840.0,72981.5,1000.0,1.0,33920.0,100000.0,90099000.0,0.0,90099000.0,60.0,641.6138765,1.5585697825848066
inner-swapped,0,baseline,10,41.7342145,38.736719,50.655868,1.0,120,17191596.0,17191596,17191864.0,17191864,,,17140748.0,17140748,,,,,,,,,,,,,,,41.9036415,23.86427442111445
inner-swapped,0,candidate,10,21.9999815,20.627644,24.196589,1.8970113452140858,120,32719600.0,32719600,32719612.0,32719612,,,32678448.0,32678448,,,17083071.5,145743.0,3922836.0,204362.0,1000000.0,10000.0,32524288.0,10000.0,100044.0,0.0,100044.0,120.0,22.17856,45.08859006175333
inner-swapped,1,baseline,10,39.543042,35.561741,41.965117,1.0,120,17191596.0,17191596,17191864.0,17191864,,,17140748.0,17140748,,,,,,,,,,,,,,,39.708171,25.183733594780783
inner-swapped,1,candidate,10,20.961854,20.489085,21.808363,1.886428652732721,120,32719600.0,32719600,32719612.0,32719612,,,32678448.0,32678448,,,16609244.5,110702.0,3756775.5,168089.0,1000000.0,10000.0,32524288.0,10000.0,100044.0,0.0,100044.0,120.0,21.1342125,47.31664357023002
inner,0,baseline,10,237.2341995,236.156634,242.947457,1.0,120,494604.0,850188,494872.0,850456,,,494604.0,494604,,,,,,,,,,,,,,,237.437535,4.211634019869689
inner,0,candidate,10,36.4397365,35.544366,38.788444,6.510315998031435,120,1020272.0,1153840,1020272.0,1153840,,,979120.0,979120,,,1170064.0,81087.0,34448481.5,198116.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,36.6757225,27.26599319209049
inner,1,baseline,10,235.118816,234.295581,235.954214,1.0,120,494604.0,494604,494872.0,494872,,,494604.0,494604,,,,,,,,,,,,,,,235.3185545,4.2495586551803335
inner,1,candidate,10,35.762214,35.11338,37.909149,6.574503916340302,120,1020272.0,1020272,1020272.0,1020272,,,979120.0,979120,,,834741.0,74193.5,34392531.0,167042.0,10000.0,10000.0,786560.0,10000000.0,999862.0,0.0,999862.0,120.0,35.9967125,27.780314660679082
left-swapped,0,baseline,10,39.4140905,35.190708,43.721781,1.0,120,17126056.0,17126056,17126324.0,17126324,,,17075208.0,17075208,,,,,,,,,,,,,,,39.6188885,25.24048598687972
