case,repetition,arm,samples,median_ms,min_ms,max_ms,speedup,groups,sampled_query_peak_bytes_median,sampled_query_peak_bytes_max,sampled_batch_native_peak_delta_bytes_median,sampled_batch_native_peak_delta_bytes_max,sampled_native_peak_delta_bytes_median,sampled_native_peak_delta_bytes_max,retained_query_bytes_median,retained_query_bytes_max,retained_native_delta_bytes_median,retained_native_delta_bytes_max,build_ns_median,init_ns_median,probe_ns_median,merge_ns_median,build_rows_median,build_keys_median,build_bytes_median,scanned_rows_median,matched_pairs_median,null_extended_rows_median,surviving_rows_median,merge_cardinality_median,batch_median_ms,queries_per_second
high-cardinality,1,candidate,10,208.1273595,204.991352,235.749004,2.0898870722472216,486759,95385600.0,95545344,95385600.0,95545344,,,59557888.0,59557888,,,710121.0,63899.5,52456256.0,7056189.5,10000.0,10000.0,786432.0,10000000.0,999862.0,0.0,999862.0,486759.0,208.592974,4.79402532512912
hot-chain,0,baseline,10,3630.593962,3614.574945,3710.157965,1.0,60,294412.0,294412,294676.0,294676,,,294412.0,294412,,,,,,,,,,,,,,,3630.8552305,0.27541720518069
hot-chain,0,candidate,10,646.200435,638.384198,656.468948,5.61837127516016,60,203632.0,203632,203632.0,203632,,,182960.0,182960,,,580203.5,75246.0,644915335.0,69770.0,1000.0,1.0,33920.0,100000.0,90099000.0,0.0,90099000.0,60.0,646.4616085,1.5468822693436095
hot-chain,1,baseline,10,3633.599272,3612.714955,3642.627418,1.0,60,294412.0,294412,294676.0,294676,,,294412.0,294412,,,,,,,,,,,,,,,3633.861908,0.27518932345736236
hot-chain,1,candidate,10,641.5921885,632.812329,650.45436,5.663409463408702,60,203632.0,203632,203632.0,314032,,,182960.0,182960,,,449058.5,67656.0,640740442.5,66239.0,1000.0,1.0,33920.0,100000.0,90099000.0,0.0,90099000.0,60.0,641.843894,1.5580112381656466
inner-swapped,0,baseline,10,41.475894,37.789146,44.354602,1.0,120,17191596.0,17191596,17191864.0,17191864,,,17140748.0,17140748,,,,,,,,,,,,,,,41.6872485,23.98815071711917
inner-swapped,0,candidate,10,21.6697785,20.604114,25.421517,1.9139971366112487,120,32719600.0,32719600,32719612.0,32719612,,,32678448.0,32678448,,,16861377.5,163956.5,4051513.5,228431.0,1000000.0,10000.0,32524288.0,10000.0,100044.0,0.0,100044.0,120.0,21.8751275,45.71401926685913
inner-swapped,1,baseline,10,39.3066995,36.279648,43.270599,1.0,120,17191596.0,17191596,17191864.0,17191864,,,17140748.0,17140748,,,,,,,,,,,,,,,39.5099735,25.310065064963915
inner-swapped,1,candidate,10,21.614065,20.786164,22.044133,1.8185704308745254,120,32719600.0,32719600,32719612.0,32719612,,,32678448.0,32678448,,,16682093.5,127923.5,3984298.0,182115.0,1000000.0,10000.0,32524288.0,10000.0,100044.0,0.0,100044.0,120.0,21.8272725,45.81424454200588
inner,0,baseline,10,244.53655,235.487411,255.053979,1.0,120,494604.0,877412,494872.0,877680,,,494604.0,494604,,,,,,,,,,,,,,,244.7731515,4.085415389195576
