storage,mode,dimension,cardinality,phase,heap_bytes,heap_objects,largest_array_bytes,query_native_bytes
native,sharded,rows,1024,live2,1543128,25098,16400,1323904
native,sharded,rows,1024,output2,1543128,25098,16400,1323904
native,sharded,rows,1024,closed2,1542320,25077,16400,0
native,sharded,rows,8192,live1,1543880,25098,16400,1357184
native,sharded,rows,8192,output1,1543880,25098,16400,1357184
native,sharded,rows,8192,closed1,1543072,25077,16400,0
native,sharded,rows,8192,live2,1543880,25098,16400,1357184
native,sharded,rows,8192,output2,1543880,25098,16400,1357184
native,sharded,rows,8192,closed2,1543072,25077,16400,0
native,sharded,rows,65536,live1,1544024,25098,16400,1651072
native,sharded,rows,65536,output1,1544024,25098,16400,1651072
native,sharded,rows,65536,closed1,1543216,25077,16400,0
native,sharded,rows,65536,live2,1544024,25098,16400,1651072
native,sharded,rows,65536,output2,1544024,25098,16400,1651072
native,sharded,rows,65536,closed2,1543216,25077,16400,0
native,sharded,rows,262144,live1,1544056,25098,16400,2658688
native,sharded,rows,262144,output1,1544056,25098,16400,2658688
native,sharded,rows,262144,closed1,1543248,25077,16400,0
native,sharded,rows,262144,live2,1544056,25098,16400,2658688
native,sharded,rows,262144,output2,1544056,25098,16400,2658688
native,sharded,rows,262144,closed2,1543248,25077,16400,0
native,sharded,keys,1024,live1,1544088,25098,16400,1385344
native,sharded,keys,1024,output1,1544088,25098,16400,1385344
native,sharded,keys,1024,closed1,1543280,25077,16400,0
native,sharded,keys,1024,live2,1544088,25098,16400,1385344
native,sharded,keys,1024,output2,1544088,25098,16400,1385344
native,sharded,keys,1024,closed2,1543280,25077,16400,0
native,sharded,keys,8192,live1,1544112,25098,16400,1877376
native,sharded,keys,8192,output1,1544112,25098,16400,1877376
native,sharded,keys,8192,closed1,1543304,25077,16400,0
native,sharded,keys,8192,live2,1544112,25098,16400,1877376
native,sharded,keys,8192,output2,1544112,25098,16400,1877376
native,sharded,keys,8192,closed2,1543304,25077,16400,0
native,sharded,keys,65536,live1,1544112,25098,16400,5841280
native,sharded,keys,65536,output1,1544112,25098,16400,5841280
native,sharded,keys,65536,closed1,1543304,25077,16400,0
native,sharded,keys,65536,live2,1544112,25098,16400,5841280
native,sharded,keys,65536,output2,1544112,25098,16400,5841280
native,sharded,keys,65536,closed2,1543304,25077,16400,0
native,sharded,keys,262144,live1,1544112,25098,16400,19431808
native,sharded,keys,262144,output1,1544112,25098,16400,19431808
native,sharded,keys,262144,closed1,1543304,25077,16400,0
native,sharded,keys,262144,live2,1544112,25098,16400,19431808
native,sharded,keys,262144,output2,1544112,25098,16400,19431808
native,sharded,keys,262144,closed2,1543304,25077,16400,0
native,sharded,symbols_groups,1024,live1,1544112,25098,16400,1409536
native,sharded,symbols_groups,1024,output1,1544112,25098,16400,1409536
native,sharded,symbols_groups,1024,closed1,1543304,25077,16400,0
native,sharded,symbols_groups,1024,live2,1544112,25098,16400,1409536
native,sharded,symbols_groups,1024,output2,1544112,25098,16400,1409536
native,sharded,symbols_groups,1024,closed2,1543304,25077,16400,0
native,sharded,symbols_groups,8192,live1,1544112,25098,16400,2139136
native,sharded,symbols_groups,8192,output1,1544112,25098,16400,2139136
native,sharded,symbols_groups,8192,closed1,1543304,25077,16400,0
native,sharded,symbols_groups,8192,live2,1544112,25098,16400,2139136
native,sharded,symbols_groups,8192,output2,1544112,25098,16400,2139136
native,sharded,symbols_groups,8192,closed2,1543304,25077,16400,0
native,sharded,symbols_groups,65536,live1,1544112,25098,16400,11870208
native,sharded,symbols_groups,65536,output1,1544112,25098,16400,11870208
native,sharded,symbols_groups,65536,closed1,1543304,25077,16400,0
native,sharded,symbols_groups,65536,live2,1544112,25098,16400,11870208
native,sharded,symbols_groups,65536,output2,1544112,25098,16400,11870208
native,sharded,symbols_groups,65536,closed2,1543304,25077,16400,0
native,sharded,symbols_groups,262144,live1,1544112,25098,16400,47480832
native,sharded,symbols_groups,262144,output1,1544112,25098,16400,47480832
native,sharded,symbols_groups,262144,closed1,1543304,25077,16400,0
native,sharded,symbols_groups,262144,live2,1544112,25098,16400,47480832
native,sharded,symbols_groups,262144,output2,1544112,25098,16400,47480832
native,sharded,symbols_groups,262144,closed2,1543304,25077,16400,0
native,sharded,fanout,1024,live1,1544112,25098,16400,1351552
native,sharded,fanout,1024,output1,1544112,25098,16400,1351552
native,sharded,fanout,1024,closed1,1543304,25077,16400,0
native,sharded,fanout,1024,live2,1544112,25098,16400,1351552
native,sharded,fanout,1024,output2,1544112,25098,16400,1351552
native,sharded,fanout,1024,closed2,1543304,25077,16400,0
native,sharded,fanout,8192,live1,1544112,25098,16400,1580928
native,sharded,fanout,8192,output1,1544112,25098,16400,1580928
native,sharded,fanout,8192,closed1,1543304,25077,16400,0
native,sharded,fanout,8192,live2,1544112,25098,16400,1580928
native,sharded,fanout,8192,output2,1544112,25098,16400,1580928
native,sharded,fanout,8192,closed2,1543304,25077,16400,0
native,sharded,fanout,65536,live1,1544112,25098,16400,3415936
native,sharded,fanout,65536,output1,1544112,25098,16400,3415936
native,sharded,fanout,65536,closed1,1543304,25077,16400,0
native,sharded,fanout,65536,live2,1544112,25098,16400,3415936
native,sharded,fanout,65536,output2,1544112,25098,16400,3415936
native,sharded,fanout,65536,closed2,1543304,25077,16400,0
native,sharded,fanout,262144,live1,1544112,25098,16400,9707392
native,sharded,fanout,262144,output1,1544112,25098,16400,9707392
native,sharded,fanout,262144,closed1,1543304,25077,16400,0
native,sharded,fanout,262144,live2,1544112,25098,16400,9707392
native,sharded,fanout,262144,output2,1544112,25098,16400,9707392
native,sharded,fanout,262144,closed2,1543304,25077,16400,0
native,scalar,rows,1024,live1,268560,5808,16400,10368
native,scalar,rows,1024,output1,268560,5808,16400,10368
native,scalar,rows,1024,closed1,267752,5787,16400,0
native,scalar,rows,1024,live2,268872,5808,16400,10368
native,scalar,rows,1024,output2,268872,5808,16400,10368
native,scalar,rows,1024,closed2,268064,5787,16400,0
native,scalar,rows,8192,live1,269592,5808,16400,29312
native,scalar,rows,8192,output1,269592,5808,16400,29312
native,scalar,rows,8192,closed1,268784,5787,16400,0
native,scalar,rows,8192,live2,269592,5808,16400,29312
native,scalar,rows,8192,output2,269592,5808,16400,29312
native,scalar,rows,8192,closed2,268784,5787,16400,0
native,scalar,rows,65536,live1,269720,5808,16400,208512
native,scalar,rows,65536,output1,269720,5808,16400,208512
native,scalar,rows,65536,closed1,268912,5787,16400,0
native,scalar,rows,65536,live2,269720,5808,16400,208512
native,scalar,rows,65536,output2,269720,5808,16400,208512
native,scalar,rows,65536,closed2,268912,5787,16400,0
native,scalar,rows,262144,live1,269736,5808,16400,822912
native,scalar,rows,262144,output1,269736,5808,16400,822912
native,scalar,rows,262144,closed1,268928,5787,16400,0
native,scalar,rows,262144,live2,269736,5808,16400,822912
native,scalar,rows,262144,output2,269736,5808,16400,822912
native,scalar,rows,262144,closed2,268928,5787,16400,0
native,scalar,keys,1024,live1,269752,5808,16400,56448
native,scalar,keys,1024,output1,269752,5808,16400,56448
native,scalar,keys,1024,closed1,268944,5787,16400,0
native,scalar,keys,1024,live2,269752,5808,16400,56448
native,scalar,keys,1024,output2,269752,5808,16400,56448
native,scalar,keys,1024,closed2,268944,5787,16400,0
native,scalar,keys,8192,live1,269760,5808,16400,419456
native,scalar,keys,8192,output1,269760,5808,16400,419456
native,scalar,keys,8192,closed1,268952,5787,16400,0
native,scalar,keys,8192,live2,269760,5808,16400,419456
native,scalar,keys,8192,output2,269760,5808,16400,419456
native,scalar,keys,8192,closed2,268952,5787,16400,0
native,scalar,keys,65536,live1,269760,5808,16400,3351168
native,scalar,keys,65536,output1,269760,5808,16400,3351168
native,scalar,keys,65536,closed1,268952,5787,16400,0
native,scalar,keys,65536,live2,269760,5808,16400,3351168
native,scalar,keys,65536,output2,269760,5808,16400,3351168
native,scalar,keys,65536,closed2,268952,5787,16400,0
native,scalar,keys,262144,live1,269760,5808,16400,13402752
native,scalar,keys,262144,output1,269760,5808,16400,13402752
native,scalar,keys,262144,closed1,268952,5787,16400,0
native,scalar,keys,262144,live2,269760,5808,16400,13402752
native,scalar,keys,262144,output2,269760,5808,16400,13402752
native,scalar,keys,262144,closed2,268952,5787,16400,0
native,scalar,symbols_groups,1024,live1,269760,5808,16400,56448
native,scalar,symbols_groups,1024,output1,269760,5808,16400,56448
native,scalar,symbols_groups,1024,closed1,268952,5787,16400,0
native,scalar,symbols_groups,1024,live2,269760,5808,16400,56448
native,scalar,symbols_groups,1024,output2,269760,5808,16400,56448
native,scalar,symbols_groups,1024,closed2,268952,5787,16400,0
native,scalar,symbols_groups,8192,live1,269760,5808,16400,419456
native,scalar,symbols_groups,8192,output1,269760,5808,16400,419456
native,scalar,symbols_groups,8192,closed1,268952,5787,16400,0
native,scalar,symbols_groups,8192,live2,269760,5808,16400,419456
native,scalar,symbols_groups,8192,output2,269760,5808,16400,419456
native,scalar,symbols_groups,8192,closed2,268952,5787,16400,0
native,scalar,symbols_groups,65536,live1,269776,5808,16400,3351168
native,scalar,symbols_groups,65536,output1,269776,5808,16400,3351168
native,scalar,symbols_groups,65536,closed1,268968,5787,16400,0
native,scalar,symbols_groups,65536,live2,269776,5808,16400,3351168
native,scalar,symbols_groups,65536,output2,269776,5808,16400,3351168
native,scalar,symbols_groups,65536,closed2,268968,5787,16400,0
native,scalar,symbols_groups,262144,live1,269808,5808,16400,13402752
native,scalar,symbols_groups,262144,output1,269808,5808,16400,13402752
native,scalar,symbols_groups,262144,closed1,269000,5787,16400,0
native,scalar,symbols_groups,262144,live2,269808,5808,16400,13402752
native,scalar,symbols_groups,262144,output2,269808,5808,16400,13402752
native,scalar,symbols_groups,262144,closed2,269000,5787,16400,0
native,scalar,fanout,1024,live1,269808,5808,16400,24704
native,scalar,fanout,1024,output1,269808,5808,16400,24704
native,scalar,fanout,1024,closed1,269000,5787,16400,0
native,scalar,fanout,1024,live2,269808,5808,16400,24704
native,scalar,fanout,1024,output2,269808,5808,16400,24704
native,scalar,fanout,1024,closed2,269000,5787,16400,0
native,scalar,fanout,8192,live1,269808,5808,16400,139392
native,scalar,fanout,8192,output1,269808,5808,16400,139392
native,scalar,fanout,8192,closed1,269000,5787,16400,0
native,scalar,fanout,8192,live2,269808,5808,16400,139392
native,scalar,fanout,8192,output2,269808,5808,16400,139392
native,scalar,fanout,8192,closed2,269000,5787,16400,0
native,scalar,fanout,65536,live1,269808,5808,16400,1056896
native,scalar,fanout,65536,output1,269808,5808,16400,1056896
native,scalar,fanout,65536,closed1,269000,5787,16400,0
native,scalar,fanout,65536,live2,269808,5808,16400,1056896
native,scalar,fanout,65536,output2,269808,5808,16400,1056896
native,scalar,fanout,65536,closed2,269000,5787,16400,0
native,scalar,fanout,262144,live1,269808,5808,16400,4202624
native,scalar,fanout,262144,output1,269808,5808,16400,4202624
