storage,mode,dimension,cardinality,phase,heap_bytes,heap_objects,largest_array_bytes,query_native_bytes
native,sharded,rows,1024,live2,1536952,24995,16400,1323904
native,sharded,rows,1024,output2,1536952,24995,16400,1323904
native,sharded,rows,1024,closed2,1535288,24947,16400,0
native,sharded,rows,8192,live1,1537704,24995,16400,1357184
native,sharded,rows,8192,output1,1537704,24995,16400,1357184
native,sharded,rows,8192,closed1,1536040,24947,16400,0
native,sharded,rows,8192,live2,1537704,24995,16400,1357184
native,sharded,rows,8192,output2,1537704,24995,16400,1357184
native,sharded,rows,8192,closed2,1536040,24947,16400,0
native,sharded,rows,65536,live1,1537848,24995,16400,1651072
native,sharded,rows,65536,output1,1537848,24995,16400,1651072
native,sharded,rows,65536,closed1,1536184,24947,16400,0
native,sharded,rows,65536,live2,1537848,24995,16400,1651072
native,sharded,rows,65536,output2,1537848,24995,16400,1651072
native,sharded,rows,65536,closed2,1536184,24947,16400,0
native,sharded,rows,262144,live1,1537880,24995,16400,2658688
native,sharded,rows,262144,output1,1537880,24995,16400,2658688
native,sharded,rows,262144,closed1,1536216,24947,16400,0
native,sharded,rows,262144,live2,1537880,24995,16400,2658688
native,sharded,rows,262144,output2,1537880,24995,16400,2658688
native,sharded,rows,262144,closed2,1536216,24947,16400,0
native,sharded,keys,1024,live1,1537912,24995,16400,1385344
native,sharded,keys,1024,output1,1537912,24995,16400,1385344
native,sharded,keys,1024,closed1,1536248,24947,16400,0
native,sharded,keys,1024,live2,1537912,24995,16400,1385344
native,sharded,keys,1024,output2,1537912,24995,16400,1385344
native,sharded,keys,1024,closed2,1536248,24947,16400,0
native,sharded,keys,8192,live1,1537936,24995,16400,1877376
native,sharded,keys,8192,output1,1537936,24995,16400,1877376
native,sharded,keys,8192,closed1,1536272,24947,16400,0
native,sharded,keys,8192,live2,1537936,24995,16400,1877376
native,sharded,keys,8192,output2,1537936,24995,16400,1877376
native,sharded,keys,8192,closed2,1536272,24947,16400,0
native,sharded,keys,65536,live1,1537936,24995,16400,5841280
